	time	K	X	np
0	0.0	0	0.004372509198824992	0
19	0.0	1	0.0642840089417538	0
38	0.0	2	0.3211303169276813	0
57	0.0	3	0.001139588340136725	0
1	0.01	0	0.00661617883859964	0
20	0.01	1	0.049811187987255895	0
39	0.01	2	0.26892024507407514	0
58	0.01	3	0.007249285131413811	0
2	0.02	0	0.01551785234234747	0
21	0.02	1	0.03380192412808791	0
40	0.02	2	0.22836204654455297	0
59	0.02	3	0.015471059986514924	0
3	0.03	0	0.017172821176234896	0
22	0.03	1	0.023233580393665885	0
41	0.03	2	0.16481605245551995	0
60	0.03	3	0.02349879945763177	0
4	0.04	0	0.01266097572776585	0
23	0.04	1	0.012354316569244848	0
42	0.04	2	0.11754164101302966	0
61	0.04	3	0.030123026418545414	0
5	0.05	0	0.005404501963049049	0
24	0.05	1	0.004551704210837471	0
43	0.05	2	0.07844534326875098	0
62	0.05	3	0.03707443647025282	0
6	0.06	0	0.012931301909537155	0
25	0.06	1	0.001086576644367796	0
44	0.06	2	0.04236641449382926	0
63	0.06	3	0.04341089862563001	0
7	0.07	0	0.03106491283780993	0
26	0.07	1	0.0023618795341720524	0
45	0.07	2	0.01663850426277961	0
64	0.07	3	0.04856547867876024	0
8	0.08	0	0.06041284638058805	0
27	0.08	1	0.0010517462215173207	0
46	0.08	2	0.007408925801031315	0
65	0.08	3	0.05355320000937345	0
9	0.09	0	0.07244092717463738	0
28	0.09	1	0.0008694903730739399	0
47	0.09	2	0.008072318599364886	0
66	0.09	3	0.056055224281721994	0
10	0.1	0	0.08546325298736229	0
29	0.1	1	0.0019281401062995528	0
48	0.1	2	0.004605109098603319	0
67	0.1	3	0.056383107814128884	0
11	0.11	0	0.1015472541706539	0
30	0.11	1	0.0017793307954690357	0
49	0.11	2	0.001163844354798371	0
68	0.11	3	0.05621133538219932	0
12	0.12	0	0.11353924771173832	0
31	0.12	1	0.006422541602516829	0
50	0.12	2	0.015012618001031887	0
69	0.12	3	0.054283365315442485	0
13	0.13	0	0.11853001921648486	0
32	0.13	1	0.008250602084539833	0
51	0.13	2	0.04080195545765933	0
70	0.13	3	0.050157331469235775	0
14	0.14	0	0.1069459412223943	0
33	0.14	1	0.010839245443321497	0
52	0.14	2	0.06599649354569652	0
71	0.14	3	0.044982501456352776	0
15	0.15	0	0.09741944375204585	0
34	0.15	1	0.01654219513443256	0
53	0.15	2	0.10166615750882363	0
72	0.15	3	0.03635265408471316	0
16	0.16	0	0.07310544308084485	0
35	0.16	1	0.013869072643914496	0
54	0.16	2	0.15121297401189457	0
73	0.16	3	0.025312678934142737	0
17	0.17	0	0.04231817478616981	0
36	0.17	1	0.011889123055209377	0
55	0.17	2	0.16651523646562658	0
74	0.17	3	0.015169977184633348	0
18	0.18	0	0.007309269783564944	0
37	0.18	1	0.008379438685825188	0
56	0.18	2	0.19376621916860193	0
75	0.18	3	0.0013138838676251508	0
0	0.0	0	0.004372509198824992	1
19	0.0	1	0.058299315818657715	1
38	0.0	2	0.3211303169276813	1
57	0.0	3	0.001139588340136725	1
1	0.01	0	0.00661617883859964	1
20	0.01	1	0.0	1
39	0.01	2	0.26892024507407514	1
58	0.01	3	0.007249285131413811	1
2	0.02	0	0.01551785234234747	1
21	0.02	1	0.0	1
40	0.02	2	0.22836204654455297	1
59	0.02	3	0.015471059986514924	1
3	0.03	0	0.017172821176234896	1
22	0.03	1	0.0	1
41	0.03	2	0.16481605245551995	1
60	0.03	3	0.02349879945763177	1
4	0.04	0	0.01266097572776585	1
23	0.04	1	0.0	1
42	0.04	2	0.11754164101302966	1
61	0.04	3	0.030123026418545414	1
5	0.05	0	0.005404501963049049	1
24	0.05	1	0.0	1
43	0.05	2	0.07844534326875098	1
62	0.05	3	0.03707443647025282	1
6	0.06	0	0.012931301909537155	1
25	0.06	1	0.0	1
44	0.06	2	0.04236641449382926	1
63	0.06	3	0.04341089862563001	1
7	0.07	0	0.03106491283780993	1
26	0.07	1	0.0	1
45	0.07	2	0.01663850426277961	1
64	0.07	3	0.04856547867876024	1
8	0.08	0	0.06041284638058805	1
27	0.08	1	0.0	1
46	0.08	2	0.007408925801031315	1
65	0.08	3	0.05355320000937345	1
9	0.09	0	0.07244092717463738	1
28	0.09	1	0.0	1
47	0.09	2	0.008072318599364886	1
66	0.09	3	0.056055224281721994	1
10	0.1	0	0.08546325298736229	1
29	0.1	1	0.0	1
48	0.1	2	0.004605109098603319	1
67	0.1	3	0.056383107814128884	1
11	0.11	0	0.1015472541706539	1
30	0.11	1	0.0	1
49	0.11	2	0.001163844354798371	1
68	0.11	3	0.05621133538219932	1
12	0.12	0	0.11353924771173832	1
31	0.12	1	0.0	1
50	0.12	2	0.015012618001031887	1
69	0.12	3	0.054283365315442485	1
13	0.13	0	0.11853001921648486	1
32	0.13	1	0.0	1
51	0.13	2	0.04080195545765933	1
70	0.13	3	0.050157331469235775	1
14	0.14	0	0.1069459412223943	1
33	0.14	1	0.0	1
52	0.14	2	0.06599649354569652	1
71	0.14	3	0.044982501456352776	1
15	0.15	0	0.09741944375204585	1
34	0.15	1	0.0	1
