	time	K	X	np
0	0.0	0	0.003507784423444047	0
25	0.0	1	0.051334272032433244	0
50	0.0	2	0.2555408217565541	0
75	0.0	3	0.0008773093305567674	0
1	0.01	0	0.012735157459738586	0
26	0.01	1	0.037370455103771794	0
51	0.01	2	0.230028729015863	0
76	0.01	3	0.0051322886887248	0
2	0.02	0	0.018080104040286083	0
27	0.02	1	0.0019313514132266573	0
52	0.02	2	0.17654399757005312	0
77	0.02	3	0.010727491584802483	0
3	0.03	0	0.028085718714125303	0
28	0.03	1	0.005002742522470811	0
53	0.03	2	0.15117733813463052	0
78	0.03	3	0.01402079425888539	0
4	0.04	0	0.020747964549682283	0
29	0.04	1	0.005601683239986832	0
54	0.04	2	0.09917742659893333	0
79	0.04	3	0.02376027491639287	0
5	0.05	0	0.006843136982178534	0
30	0.05	1	0.004262391382275603	0
55	0.05	2	0.06466608524220037	0
80	0.05	3	0.0279769092891086	0
6	0.06	0	0.01027262086083056	0
31	0.06	1	0.0008543055467276787	0
56	0.06	2	0.033687692317044785	0
81	0.06	3	0.033755755257423734	0
7	0.07	0	0.031188161876218902	0
32	0.07	1	0.008254959117334522	0
57	0.07	2	0.006496010414758264	0
82	0.07	3	0.039060196782144	0
8	0.08	0	0.04850394206570182	0
33	0.08	1	0.008051911796150254	0
58	0.08	2	0.008729902647672635	0
83	0.08	3	0.04334858405402192	0
9	0.09	0	0.06869693070173397	0
34	0.09	1	0.014681084255754477	0
59	0.09	2	0.01895462001251453	0
84	0.09	3	0.04524754465945189	0
10	0.1	0	0.08133786562752293	0
35	0.1	1	0.017961648160409977	0
60	0.1	2	0.019941945668866038	0
85	0.1	3	0.04719521122632641	0
11	0.11	0	0.08942241791760205	0
36	0.11	1	0.012482705460445049	0
61	0.11	2	0.005923409384863172	0
86	0.11	3	0.04530531391556226	0
12	0.12	0	0.09091769391635132	0
37	0.12	1	0.005089342970587723	0
62	0.12	2	0.011946671759546024	0
87	0.12	3	0.04268837415053045	0
13	0.13	0	0.08690597484477926	0
38	0.13	1	0.003807527430241783	0
63	0.13	2	0.03751231982493178	0
88	0.13	3	0.039034367393623745	0
14	0.14	0	0.0801067537040971	0
39	0.14	1	0.006985675143189835	0
64	0.14	2	0.057386630523866236	0
89	0.14	3	0.03279251841160431	0
15	0.15	0	0.06349343712037127	0
40	0.15	1	0.009956659955044585	0
65	0.15	2	0.08524532416666901	0
90	0.15	3	0.02780324853483081	0
16	0.16	0	0.042379008805070756	0
41	0.16	1	0.01658480940179334	0
66	0.16	2	0.1181299871940642	0
91	0.16	3	0.01963881388948098	0
17	0.17	0	0.02368675147893364	0
42	0.17	1	0.004749008672489706	0
67	0.17	2	0.14065097250517888	0
92	0.17	3	0.0112760474379184	0
18	0.18	0	0.0038325686237168795	0
43	0.18	1	0.011598043666141084	0
68	0.18	2	0.15192410887645014	0
93	0.18	3	0.0048159730487851524	0
19	0.19	0	0.011312747967366326	0
44	0.19	1	0.04596540344639173	0
69	0.19	2	0.15655253964802893	0
94	0.19	3	0.00045255567925686543	0
20	0.2	0	0.02217283719138339	0
45	0.2	1	0.07972064876821586	0
70	0.2	2	0.1603013897685118	0
95	0.2	3	0.005438744935304515	0
21	0.21	0	0.0360650072665104	0
46	0.21	1	0.15618412150746164	0
71	0.21	2	0.1500793343234438	0
96	0.21	3	0.006616736301689826	0
22	0.22	0	0.026623203402469882	0
47	0.22	1	0.19747504372021238	0
72	0.22	2	0.11364934576662186	0
97	0.22	3	0.009688356747162882	0
23	0.23	0	0.0019278707900708897	0
48	0.23	1	0.2882568340443494	0
73	0.23	2	0.06865872551195921	0
98	0.23	3	0.0024582785381296905	0
24	0.24	0	0.015646450990230622	0
49	0.24	1	0.3724737168757818	0
74	0.24	2	0.027898483576580178	0
99	0.24	3	0.002026272649175819	0
0	0.0	0	0.003507784423444047	1
25	0.0	1	0.051334272032433244	1
50	0.0	2	0.2662946137997812	1
75	0.0	3	0.0008773093305567674	1
1	0.01	0	0.012735157459738586	1
26	0.01	1	0.037370455103771794	1
51	0.01	2	0.0	1
76	0.01	3	0.0051322886887248	1
2	0.02	0	0.018080104040286083	1
27	0.02	1	0.0019313514132266573	1
52	0.02	2	0.0	1
77	0.02	3	0.010727491584802483	1
3	0.03	0	0.028085718714125303	1
28	0.03	1	0.005002742522470811	1
53	0.03	2	0.0	1
78	0.03	3	0.01402079425888539	1
4	0.04	0	0.020747964549682283	1
29	0.04	1	0.005601683239986832	1
54	0.04	2	0.0	1
79	0.04	3	0.02376027491639287	1
5	0.05	0	0.006843136982178534	1
30	0.05	1	0.004262391382275603	1
55	0.05	2	0.0	1
80	0.05	3	0.0279769092891086	1
6	0.06	0	0.01027262086083056	1
31	0.06	1	0.0008543055467276787	1
56	0.06	2	0.0	1
81	0.06	3	0.033755755257423734	1
7	0.07	0	0.031188161876218902	1
32	0.07	1	0.008254959117334522	1
57	0.07	2	0.0	1
82	0.07	3	0.039060196782144	1
8	0.08	0	0.04850394206570182	1
33	0.08	1	0.008051911796150254	1
58	0.08	2	0.0	1
83	0.08	3	0.04334858405402192	1
9	0.09	0	0.06869693070173397	1
34	0.09	1	0.014681084255754477	1
59	0.09	2	0.0	1
84	0.09	3	0.04524754465945189	1
10	0.1	0	0.08133786562752293	1
35	0.1	1	0.017961648160409977	1
60	0.1	2	0.0	1
85	0.1	3	0.04719521122632641	1
11	0.11	0	0.08942241791760205	1
36	0.11	1	0.012482705460445049	1
61	0.11	2	0.0	1
86	0.11	3	0.04530531391556226	1
12	0.12	0	0.09091769391635132	1
37	0.12	1	0.005089342970587723	1
62	0.12	2	0.0	1
87	0.12	3	0.04268837415053045	1
13	0.13	0	0.08690597484477926	1
38	0.13	1	0.003807527430241783	1
63	0.13	2	0.0	1
88	0.13	3	0.039034367393623745	1
14	0.14	0	0.0801067537040971	1
39	0.14	1	0.006985675143189835	1
64	0.14	2	0.0	1
89	0.14	3	0.03279251841160431	1
15	0.15	0	0.06349343712037127	1
40	0.15	1	0.009956659955044585	1
65	0.15	2	0.0	1
90	0.15	3	0.02780324853483081	1
16	0.16	0	0.042379008805070756	1
41	0.16	1	0.01658480940179334	1
66	0.16	2	0.0	1
91	0.16	3	0.01963881388948098	1
17	0.17	0	0.02368675147893364	1
42	0.17	1	0.004749008672489706	1
67	0.17	2	0.0	1
92	0.17	3	0.0112760474379184	1
18	0.18	0	0.0038325686237168795	1
43	0.18	1	0.011598043666141084	1
68	0.18	2	0.15192410887645014	1
93	0.18	3	0.0048159730487851524	1
19	0.19	0	0.011312747967366326	1
44	0.19	1	0.04596540344639173	1
69	0.19	2	0.0	1
94	0.19	3	0.00045255567925686543	1
20	0.2	0	0.02217283719138339	1
45	0.2	1	0.07972064876821586	1
70	0.2	2	0.0	1
95	0.2	3	0.005438744935304515	1
21	0.21	0	0.0360650072665104	1
46	0.21	1	0.15618412150746164	1
71	0.21	2	0.0	1
96	0.21	3	0.006616736301689826	1
22	0.22	0	0.026623203402469882	1
47	0.22	1	0.19747504372021238	1
72	0.22	2	0.0	1
97	0.22	3	0.009688356747162882	1
23	0.23	0	0.0019278707900708897	1
48	0.23	1	0.2882568340443494	1
73	0.23	2	0.0	1
98	0.23	3	0.0024582785381296905	1
24	0.24	0	0.015646450990230622	1
49	0.24	1	0.3724737168757818	1
74	0.24	2	0.0	1
99	0.24	3	0.002026272649175819	1
0	0.0	0	0.003507784423444047	2
25	0.0	1	0.051334272032433244	2
50	0.0	2	0.2662946137997812	2
75	0.0	3	0.012732001241540492	2
1	0.01	0	0.012735157459738586	2
26	0.01	1	0.037370455103771794	2
51	0.01	2	0.0	2
76	0.01	3	0.0	2
2	0.02	0	0.018080104040286083	2
27	0.02	1	0.0019313514132266573	2
52	0.02	2	0.0	2
77	0.02	3	0.0	2
3	0.03	0	0.028085718714125303	2
28	0.03	1	0.005002742522470811	2
53	0.03	2	0.0	2
78	0.03	3	0.0	2
4	0.04	0	0.020747964549682283	2
29	0.04	1	0.005601683239986832	2
54	0.04	2	0.0	2
79	0.04	3	0.0	2
5	0.05	0	0.006843136982178534	2
30	0.05	1	0.004262391382275603	2
55	0.05	2	0.0	2
80	0.05	3	0.0	2
6	0.06	0	0.01027262086083056	2
31	0.06	1	0.0008543055467276787	2
56	0.06	2	0.0	2
81	0.06	3	0.0	2
7	0.07	0	0.031188161876218902	2
32	0.07	1	0.008254959117334522	2
57	0.07	2	0.0	2
82	0.07	3	0.0	2
8	0.08	0	0.04850394206570182	2
33	0.08	1	0.008051911796150254	2
58	0.08	2	0.0	2
83	0.08	3	0.0	2
9	0.09	0	0.06869693070173397	2
34	0.09	1	0.014681084255754477	2
59	0.09	2	0.0	2
84	0.09	3	0.0	2
10	0.1	0	0.08133786562752293	2
35	0.1	1	0.017961648160409977	2
60	0.1	2	0.0	2
85	0.1	3	0.0	2
11	0.11	0	0.08942241791760205	2
36	0.11	1	0.012482705460445049	2
61	0.11	2	0.0	2
86	0.11	3	0.0	2
12	0.12	0	0.09091769391635132	2
37	0.12	1	0.005089342970587723	2
62	0.12	2	0.0	2
87	0.12	3	0.0	2
13	0.13	0	0.08690597484477926	2
38	0.13	1	0.003807527430241783	2
63	0.13	2	0.0	2
88	0.13	3	0.0	2
14	0.14	0	0.0801067537040971	2
39	0.14	1	0.006985675143189835	2
64	0.14	2	0.0	2
89	0.14	3	0.0	2
15	0.15	0	0.06349343712037127	2
40	0.15	1	0.009956659955044585	2
65	0.15	2	0.0	2
90	0.15	3	0.0	2
16	0.16	0	0.042379008805070756	2
41	0.16	1	0.01658480940179334	2
66	0.16	2	0.0	2
91	0.16	3	0.0	2
17	0.17	0	0.02368675147893364	2
42	0.17	1	0.004749008672489706	2
67	0.17	2	0.0	2
92	0.17	3	0.0	2
18	0.18	0	0.0038325686237168795	2
43	0.18	1	0.011598043666141084	2
68	0.18	2	0.15192410887645014	2
93	0.18	3	0.0	2
19	0.19	0	0.011312747967366326	2
44	0.19	1	0.04596540344639173	2
69	0.19	2	0.0	2
94	0.19	3	0.0	2
20	0.2	0	0.02217283719138339	2
45	0.2	1	0.07972064876821586	2
70	0.2	2	0.0	2
95	0.2	3	0.0	2
21	0.21	0	0.0360650072665104	2
46	0.21	1	0.15618412150746164	2
71	0.21	2	0.0	2
96	0.21	3	0.0	2
22	0.22	0	0.026623203402469882	2
47	0.22	1	0.19747504372021238	2
