	time	K	X	np
0	0.0	0	0.022745719507607558	0
25	0.0	1	0.00947983148670743	0
50	0.0	2	0.01325544765110251	0
1	0.01	0	0.02443559104238893	0
26	0.01	1	0.02330706872411914	0
51	0.01	2	0.050106110951847485	0
2	0.02	0	0.02790907942417808	0
27	0.02	1	0.04369131211990075	0
52	0.02	2	0.08304739874819725	0
3	0.03	0	0.030906660351377714	0
28	0.03	1	0.05696792873238381	0
53	0.03	2	0.09640759617102067	0
4	0.04	0	0.02270275577495233	0
29	0.04	1	0.08487751981604098	0
54	0.04	2	0.10920233163597073	0
5	0.05	0	0.01495888574944338	0
30	0.05	1	0.10815244661822696	0
55	0.05	2	0.11642886539502335	0
6	0.06	0	0.005328389023871663	0
31	0.06	1	0.12829551595768585	0
56	0.06	2	0.11124383513270325	0
7	0.07	0	0.003106942717127465	0
32	0.07	1	0.15037744249667315	0
57	0.07	2	0.10189027501324993	0
8	0.08	0	0.011842364449014974	0
33	0.08	1	0.16636551144721828	0
58	0.08	2	0.08735659051934677	0
9	0.09	0	0.015854994090894425	0
34	0.09	1	0.18236350912838628	0
59	0.09	2	0.07187777660387377	0
10	0.1	0	0.01491503084782987	0
35	0.1	1	0.18136262495319436	0
60	0.1	2	0.059216990057480344	0
11	0.11	0	0.011355505835026586	0
36	0.11	1	0.1861147122824205	0
61	0.11	2	0.03943436067787311	0
12	0.12	0	0.0025608955064896966	0
37	0.12	1	0.1767670040529053	0
62	0.12	2	0.025395379971674202	0
13	0.13	0	0.021881974817877767	0
38	0.13	1	0.1629569717770236	0
63	0.13	2	0.012439956047707016	0
14	0.14	0	0.04720318074917512	0
39	0.14	1	0.14337835416553216	0
64	0.14	2	0.010649484119659694	0
15	0.15	0	0.07820979180329683	0
40	0.15	1	0.12524119544426557	0
65	0.15	2	2.8916494220143467e-05	0
16	0.16	0	0.11691193421376396	0
41	0.16	1	0.09694042996885438	0
66	0.16	2	0.0019451014001652849	0
17	0.17	0	0.16116698793767104	0
