"","X1_TNBC.SA609.UnRx.Line.1","X2_TNBC.SA609.UnRx.Line.1","X3_TNBC.SA609.UnRx.Line.1","X4_TNBC.SA609.UnRx.Line.1","X5_TNBC.SA609.Rx.Line.2","X6_TNBC.SA609.Rx.Line.2","X7_TNBC.SA609.Rx.Line.2","replicateID","rxFrac"
"a",0.0106609808102345,0.0324324324324324,0.280788177339901,0.580952380952381,0.0021551724137931,0.00952380952380952,0.00376647834274953,4,0.428571428571429
"b",0.155650319829424,0.0027027027027027,0.0147783251231527,0.00761904761904762,0.0280172413793103,0.297142857142857,0.0800376647834275,4,0.428571428571429
"c",0.748400852878465,0.105405405405405,0.0344827586206897,0.0780952380952381,0.655172413793103,0.179047619047619,0.0244821092278719,4,0.428571428571429
"d",0.0106609808102345,0.737837837837838,0.502463054187192,0.175238095238095,0.295258620689655,0.506666666666667,0.888888888888889,4,0.428571428571429
"e",0.0490405117270789,0.00810810810810811,0.00492610837438424,0.0019047619047619,0.0107758620689655,0.00380952380952381,0.000941619585687382,4,0.428571428571429
"f",0.023454157782516,0.027027027027027,0.0541871921182266,0.0133333333333333,0.00646551724137931,0.0019047619047619,0.000941619585687382,4,0.428571428571429
"g",0.00213219616204691,0.0864864864864865,0.108374384236453,0.142857142857143,0.0021551724137931,0.0019047619047619,0.000941619585687382,4,0.428571428571429
