"","X1_TNBC.SA609.UnRx.Line.1","X2_TNBC.SA609.UnRx.Line.1","X3_TNBC.SA609.UnRx.Line.1","X4_TNBC.SA609.UnRx.Line.2","X5_TNBC.SA609.UnRx.Line.2","X6_TNBC.SA609.UnRx.Line.2","X7_TNBC.SA609.UnRx.Line.2","replicateID","rxFrac"
"a",0.0106609808102345,0.0324324324324324,0.280788177339901,0.550420168067227,0.670103092783505,0.725373134328358,0.724550898203593,1,0
"b",0.155650319829424,0.0027027027027027,0.0147783251231527,0.0210084033613445,0.0309278350515464,0.0417910447761194,0.0179640718562874,1,0
"c",0.748400852878465,0.105405405405405,0.0344827586206897,0.00840336134453781,0.0618556701030928,0.0447761194029851,0.0359281437125748,1,0
"d",0.0106609808102345,0.737837837837838,0.502463054187192,0.126050420168067,0.206185567010309,0.0805970149253731,0.0239520958083832,1,0
"e",0.0490405117270789,0.00810810810810811,0.00492610837438424,0.142857142857143,0.0103092783505155,0.00597014925373134,0.00598802395209581,1,0
"f",0.023454157782516,0.027027027027027,0.0541871921182266,0.147058823529412,0.0103092783505155,0.0985074626865672,0.00598802395209581,1,0
"g",0.00213219616204691,0.0864864864864865,0.108374384236453,0.00420168067226891,0.0103092783505155,0.00298507462686567,0.18562874251497,1,0
