"","X1_TNBC.SA609.UnRx.Line.1","X2_TNBC.SA609.UnRx.Line.1","X3_TNBC.SA609.UnRx.Line.1","X4_TNBC.SA609.UnRx.Line.1","X5_TNBC.SA609.UnRx.Line.1","X6_TNBC.SA609.UnRx.Line.1","X7_TNBC.SA609.UnRx.Line.1","X8_TNBC.SA609.UnRx.Line.1","X9_TNBC.SA609.UnRx.Line.1","X10_TNBC.SA609.UnRx.Line.1","replicateID","rxFrac"
"a",0.0106609808102345,0.0324324324324324,0.280788177339901,0.580952380952381,0.612732095490716,0.351893095768374,0.330645161290323,0.3515625,0.384364820846906,0.289948453608247,1,0
"b",0.155650319829424,0.0027027027027027,0.0147783251231527,0.00761904761904762,0.00530503978779841,0.0022271714922049,0.00403225806451613,0.00558035714285714,0.00488599348534202,0.0038659793814433,1,0
"c",0.748400852878465,0.105405405405405,0.0344827586206897,0.0780952380952381,0.0503978779840849,0.0244988864142539,0.00403225806451613,0.00223214285714286,0.00325732899022801,0.00128865979381443,1,0
"d",0.0106609808102345,0.737837837837838,0.502463054187192,0.175238095238095,0.0689655172413793,0.0690423162583519,0.0100806451612903,0.00111607142857143,0.00162866449511401,0.701030927835051,1,0
"e",0.0490405117270789,0.00810810810810811,0.00492610837438424,0.0019047619047619,0.0185676392572944,0.0022271714922049,0.0201612903225806,0.0200892857142857,0.602605863192182,0.00128865979381443,1,0
"f",0.023454157782516,0.027027027027027,0.0541871921182266,0.0133333333333333,0.241379310344828,0.0089086859688196,0.629032258064516,0.618303571428571,0.00162866449511401,0.00128865979381443,1,0
"g",0.00213219616204691,0.0864864864864865,0.108374384236453,0.142857142857143,0.0026525198938992,0.541202672605791,0.00201612903225806,0.00111607142857143,0.00162866449511401,0.00128865979381443,1,0
