"","X0_TNBC.SA609.Mixture.a","X1_TNBC.SA609.Mixture.a","X2_TNBC.SA609.Mixture.a","X3_TNBC.SA609.Mixture.a","X4_TNBC.SA609.Mixture.a","replicateID","rxFrac"
"a",0.474576271186441,0.460476787954831,0.350649350649351,0.117647058823529,0.0609318996415771,1,0
"b",0.0169491525423729,0.00250941028858218,0.616883116883117,0.00346020761245675,0.00896057347670251,1,0
"c",0.24455205811138,0.00501882057716437,0.00649350649350649,0.865051903114187,0.0017921146953405,1,0
"d",0.00484261501210654,0.00125470514429109,0.00649350649350649,0.00346020761245675,0.922939068100358,1,0
"e",0.00242130750605327,0.00125470514429109,0.00649350649350649,0.00346020761245675,0.0017921146953405,1,0
"f",0.254237288135593,0.52823086574655,0.00649350649350649,0.00346020761245675,0.0017921146953405,1,0
"g",0.00242130750605327,0.00125470514429109,0.00649350649350649,0.00346020761245675,0.0017921146953405,1,0
