"","X4_TNBC.SA1035.UnRx","X5_TNBC.SA1035.Rx","X6_TNBC.SA1035.Holiday","replicateID","rxFrac"
"a",0.802631578947368,0.543640897755611,0.31989247311828,3,0.333333333333333
"b",0.0432330827067669,0.0261845386533666,0.010752688172043,3,0.333333333333333
"c",0.0225563909774436,0.00498753117206983,0.043010752688172,3,0.333333333333333
"d",0.0300751879699248,0.0773067331670823,0.0456989247311828,3,0.333333333333333
"e",0.0488721804511278,0.0349127182044888,0.448924731182796,3,0.333333333333333
"f",0.0093984962406015,0.119700748129676,0.0833333333333333,3,0.333333333333333
"g",0.0281954887218045,0.0673316708229426,0.0295698924731183,3,0.333333333333333
"h",0.0131578947368421,0.104738154613466,0.0161290322580645,3,0.333333333333333
"i",0.0018796992481203,0.0211970074812968,0.00268817204301075,3,0.333333333333333
