"","X1_TNBC.SA609.UnRx.Line.1","X2_TNBC.SA609.UnRx.Line.1","X3_TNBC.SA609.UnRx.Line.1","X4_TNBC.SA609.Rx.Line.1","X5_TNBC.SA609.Rx.Line.1","X6_TNBC.SA609..Holiday.Line.1","replicateID","rxFrac"
"a",0.0106609808102345,0.0324324324324324,0.280788177339901,0.0116279069767442,0.00393700787401575,0.000792393026941363,6,0.333333333333333
"b",0.155650319829424,0.0027027027027027,0.0147783251231527,0.0348837209302326,0.0177165354330709,0.0126782884310618,6,0.333333333333333
"c",0.748400852878465,0.105405405405405,0.0344827586206897,0.453488372093023,0.824803149606299,0.863708399366086,6,0.333333333333333
"d",0.0106609808102345,0.737837837837838,0.502463054187192,0.418604651162791,0.135826771653543,0.106180665610143,6,0.333333333333333
"e",0.0490405117270789,0.00810810810810811,0.00492610837438424,0.0348837209302326,0.0137795275590551,0.0126782884310618,6,0.333333333333333
"f",0.023454157782516,0.027027027027027,0.0541871921182266,0.0348837209302326,0.00196850393700787,0.00316957210776545,6,0.333333333333333
"g",0.00213219616204691,0.0864864864864865,0.108374384236453,0.0116279069767442,0.00196850393700787,0.000792393026941363,6,0.333333333333333
