	time	K	X	np
0	0.0	0	0.4733791755725651	0
19	0.0	1	0.00691524974132291	0
38	0.0	2	0.009702977985135563	0
1	0.01	0	0.4493465990407157	0
20	0.01	1	0.022047919939354663	0
39	0.01	2	0.03577522802439289	0
2	0.02	0	0.4161431482032414	0
21	0.02	1	0.03770836913820366	0
40	0.02	2	0.047968476188966	0
3	0.03	0	0.3934131436300722	0
22	0.03	1	0.05014724606023903	0
41	0.03	2	0.06656523351748947	0
4	0.04	0	0.3727020345695391	0
23	0.04	1	0.06470253429780776	0
42	0.04	2	0.07013419926350495	0
5	0.05	0	0.35186659145951416	0
24	0.05	1	0.07724233128130628	0
43	0.05	2	0.07507843464474187	0
6	0.06	0	0.35160608568714163	0
25	0.06	1	0.08847062751485493	0
44	0.06	2	0.07925867558863517	0
7	0.07	0	0.35085069892971127	0
26	0.07	1	0.0983747929896658	0
45	0.07	2	0.07397791698779063	0
8	0.08	0	0.3509091692611216	0
27	0.08	1	0.10665822902666686	0
46	0.08	2	0.07035987267767951	0
9	0.09	0	0.35051002044793295	0
28	0.09	1	0.11372026981788676	0
47	0.09	2	0.06011114139945599	0
10	0.1	0	0.3655323460165852	0
29	0.1	1	0.11848281539979023	0
48	0.1	2	0.035410720743436694	0
11	0.11	0	0.36975658676797846	0
30	0.11	1	0.12140372615957548	0
49	0.11	2	0.027380101873538003	0
12	0.12	0	0.37842875882772875	0
31	0.12	1	0.12238191482334253	0
50	0.12	2	0.018355056455234903	0
13	0.13	0	0.38484952080588203	0
32	0.13	1	0.12118635937339846	0
51	0.13	2	0.008130569286755701	0
14	0.14	0	0.38976076540149274	0
33	0.14	1	0.11798881887746598	0
52	0.14	2	0.002488682658897479	0
15	0.15	0	0.3803831524153712	0
34	0.15	1	0.11304154965834107	0
53	0.15	2	0.0039115982975740995	0
16	0.16	0	0.3772891814289495	0
35	0.16	1	0.10432092567474113	0
54	0.16	2	0.010135046237713755	0
17	0.17	0	0.3552968826997737	0
36	0.17	1	0.09552223586867722	0
55	0.17	2	0.002471540659982845	0
18	0.18	0	0.3352060898758706	0
37	0.18	1	0.08434764984997524	0
56	0.18	2	0.006628063627439479	0
0	0.0	0	0.4733791755725651	1
19	0.0	1	0.00691524974132291	1
38	0.0	2	0.002730249141605859	1
1	0.01	0	0.4493465990407157	1
20	0.01	1	0.022047919939354663	1
39	0.01	2	0.0	1
2	0.02	0	0.4161431482032414	1
21	0.02	1	0.03770836913820366	1
40	0.02	2	0.0	1
3	0.03	0	0.3934131436300722	1
22	0.03	1	0.05014724606023903	1
41	0.03	2	0.0	1
4	0.04	0	0.3727020345695391	1
23	0.04	1	0.06470253429780776	1
42	0.04	2	0.0	1
5	0.05	0	0.35186659145951416	1
24	0.05	1	0.07724233128130628	1
43	0.05	2	0.0	1
6	0.06	0	0.35160608568714163	1
25	0.06	1	0.08847062751485493	1
44	0.06	2	0.0	1
7	0.07	0	0.35085069892971127	1
26	0.07	1	0.0983747929896658	1
45	0.07	2	0.0	1
8	0.08	0	0.3509091692611216	1
27	0.08	1	0.10665822902666686	1
46	0.08	2	0.0	1
9	0.09	0	0.35051002044793295	1
28	0.09	1	0.11372026981788676	1
47	0.09	2	0.0	1
10	0.1	0	0.3655323460165852	1
29	0.1	1	0.11848281539979023	1
48	0.1	2	0.0	1
11	0.11	0	0.36975658676797846	1
30	0.11	1	0.12140372615957548	1
49	0.11	2	0.0	1
12	0.12	0	0.37842875882772875	1
31	0.12	1	0.12238191482334253	1
50	0.12	2	0.0	1
13	0.13	0	0.38484952080588203	1
32	0.13	1	0.12118635937339846	1
51	0.13	2	0.0	1
14	0.14	0	0.38976076540149274	1
33	0.14	1	0.11798881887746598	1
52	0.14	2	0.0	1
15	0.15	0	0.3803831524153712	1
34	0.15	1	0.11304154965834107	1
53	0.15	2	0.0	1
16	0.16	0	0.3772891814289495	1
35	0.16	1	0.10432092567474113	1
54	0.16	2	0.0	1
17	0.17	0	0.3552968826997737	1
36	0.17	1	0.09552223586867722	1
55	0.17	2	0.0	1
18	0.18	0	0.3352060898758706	1
37	0.18	1	0.08434764984997524	1
56	0.18	2	0.0	1
0	0.0	0	0.4873382312159395	2
19	0.0	1	0.00691524974132291	2
38	0.0	2	0.002730249141605859	2
1	0.01	0	0.0	2
20	0.01	1	0.022047919939354663	2
39	0.01	2	0.0	2
2	0.02	0	0.0	2
21	0.02	1	0.03770836913820366	2
40	0.02	2	0.0	2
3	0.03	0	0.0	2
22	0.03	1	0.05014724606023903	2
41	0.03	2	0.0	2
4	0.04	0	0.0	2
23	0.04	1	0.06470253429780776	2
42	0.04	2	0.0	2
5	0.05	0	0.0	2
24	0.05	1	0.07724233128130628	2
43	0.05	2	0.0	2
6	0.06	0	0.35160608568714163	2
25	0.06	1	0.08847062751485493	2
44	0.06	2	0.0	2
7	0.07	0	0.0	2
26	0.07	1	0.0983747929896658	2
45	0.07	2	0.0	2
8	0.08	0	0.0	2
27	0.08	1	0.10665822902666686	2
46	0.08	2	0.0	2
9	0.09	0	0.0	2
28	0.09	1	0.11372026981788676	2
47	0.09	2	0.0	2
10	0.1	0	0.0	2
29	0.1	1	0.11848281539979023	2
48	0.1	2	0.0	2
11	0.11	0	0.0	2
30	0.11	1	0.12140372615957548	2
49	0.11	2	0.0	2
12	0.12	0	0.0	2
31	0.12	1	0.12238191482334253	2
50	0.12	2	0.0	2
13	0.13	0	0.0	2
32	0.13	1	0.12118635937339846	2
51	0.13	2	0.0	2
14	0.14	0	0.0	2
33	0.14	1	0.11798881887746598	2
52	0.14	2	0.0	2
15	0.15	0	0.0	2
34	0.15	1	0.11304154965834107	2
53	0.15	2	0.0	2
16	0.16	0	0.0	2
35	0.16	1	0.10432092567474113	2
54	0.16	2	0.0	2
17	0.17	0	0.0	2
36	0.17	1	0.09552223586867722	2
55	0.17	2	0.0	2
18	0.18	0	0.3352060898758706	2
37	0.18	1	0.08434764984997524	2
56	0.18	2	0.0	2
0	0.0	0	0.49580945529936615	3
19	0.0	1	0.00691524974132291	3
38	0.0	2	0.002730249141605859	3
1	0.01	0	0.0	3
20	0.01	1	0.022047919939354663	3
39	0.01	2	0.0	3
2	0.02	0	0.0	3
21	0.02	1	0.03770836913820366	3
40	0.02	2	0.0	3
3	0.03	0	0.0	3
22	0.03	1	0.05014724606023903	3
41	0.03	2	0.0	3
4	0.04	0	0.0	3
23	0.04	1	0.06470253429780776	3
42	0.04	2	0.0	3
5	0.05	0	0.0	3
24	0.05	1	0.07724233128130628	3
43	0.05	2	0.0	3
6	0.06	0	0.35160608568714163	3
25	0.06	1	0.08847062751485493	3
44	0.06	2	0.0	3
7	0.07	0	0.0	3
26	0.07	1	0.0983747929896658	3
45	0.07	2	0.0	3
8	0.08	0	0.0	3
27	0.08	1	0.10665822902666686	3
46	0.08	2	0.0	3
9	0.09	0	0.0	3
28	0.09	1	0.11372026981788676	3
47	0.09	2	0.0	3
10	0.1	0	0.0	3
29	0.1	1	0.11848281539979023	3
48	0.1	2	0.0	3
11	0.11	0	0.0	3
30	0.11	1	0.12140372615957548	3
49	0.11	2	0.0	3
12	0.12	0	0.0	3
31	0.12	1	0.12238191482334253	3
50	0.12	2	0.0	3
13	0.13	0	0.0	3
32	0.13	1	0.12118635937339846	3
51	0.13	2	0.0	3
14	0.14	0	0.0	3
33	0.14	1	0.11798881887746598	3
52	0.14	2	0.0	3
15	0.15	0	0.0	3
34	0.15	1	0.11304154965834107	3
53	0.15	2	0.0	3
16	0.16	0	0.0	3
35	0.16	1	0.10432092567474113	3
54	0.16	2	0.0	3
17	0.17	0	0.0	3
36	0.17	1	0.09552223586867722	3
55	0.17	2	0.0	3
18	0.18	0	0.3352060898758706	3
37	0.18	1	0.08434764984997524	3
56	0.18	2	0.0	3
0	0.0	0	0.49580945529936615	4
19	0.0	1	0.010325581108670588	4
38	0.0	2	0.002730249141605859	4
1	0.01	0	0.0	4
20	0.01	1	0.0	4
39	0.01	2	0.0	4
2	0.02	0	0.0	4
21	0.02	1	0.0	4
40	0.02	2	0.0	4
3	0.03	0	0.0	4
22	0.03	1	0.0	4
41	0.03	2	0.0	4
4	0.04	0	0.0	4
