	time	K	X	np
0	0.0	0	0.5926572779842554	0
25	0.0	1	0.008235325893830336	0
50	0.0	2	0.01154491337960168	0
1	0.01	0	0.5467052213454175	0
26	0.01	1	0.017135725479600867	0
51	0.01	2	0.039121658984491145	0
2	0.02	0	0.47606202184800445	0
27	0.02	1	0.029332902864716272	0
52	0.02	2	0.07446548192059972	0
3	0.03	0	0.4504601891801612	0
28	0.03	1	0.05198532182002257	0
53	0.03	2	0.0708994737450504	0
4	0.04	0	0.42624011797948463	0
29	0.04	1	0.05609323869563351	0
54	0.04	2	0.08753956275931794	0
5	0.05	0	0.4150772970337504	0
30	0.05	1	0.08250651138361817	0
55	0.05	2	0.09383769886004757	0
6	0.06	0	0.41943040735832166	0
31	0.06	1	0.1022121731249917	0
56	0.06	2	0.09080026199018652	0
7	0.07	0	0.4280677381018542	0
32	0.07	1	0.11958929047532173	0
57	0.07	2	0.0833683616367474	0
8	0.08	0	0.4440358179980492	0
33	0.08	1	0.13074737271177247	0
58	0.08	2	0.07435737829925293	0
9	0.09	0	0.4675733897785799	0
34	0.09	1	0.14997930396577974	0
59	0.09	2	0.06281894529386184	0
10	0.1	0	0.4642204787637863	0
35	0.1	1	0.15071492903485323	0
60	0.1	2	0.0482770304194334	0
11	0.11	0	0.4667917678449251	0
36	0.11	1	0.14892430035272364	0
61	0.11	2	0.03413682272390961	0
12	0.12	0	0.45894096356650527	0
37	0.12	1	0.14326475381501733	0
62	0.12	2	0.021217688861064746	0
13	0.13	0	0.44040955401603654	0
38	0.13	1	0.13198511986301303	0
63	0.13	2	0.01559369373720083	0
14	0.14	0	0.41858137072923396	0
39	0.14	1	0.1105092305038944	0
64	0.14	2	0.0063658599890149365	0
15	0.15	0	0.4080002257102245	0
40	0.15	1	0.09640957714912231	0
65	0.15	2	0.012739296318108178	0
16	0.16	0	0.38940322625619084	0
41	0.16	1	0.07962171940308009	0
66	0.16	2	0.002576756222796489	0
17	0.17	0	0.3727351085118822	0
42	0.17	1	0.06200579583283993	0
67	0.17	2	0.003984315402803061	0
18	0.18	0	0.37139647173762663	0
43	0.18	1	0.050787797557148774	0
68	0.18	2	0.01022346316865034	0
19	0.19	0	0.38268290873508143	0
44	0.19	1	0.049993272627241146	0
69	0.19	2	0.014945263908268088	0
20	0.2	0	0.41704051716229706	0
45	0.2	1	0.051041939657551175	0
70	0.2	2	0.017783620211377665	0
21	0.21	0	0.4724946533586069	0
46	0.21	1	0.05791766865272525	0
71	0.21	2	0.019852275808082714	0
22	0.22	0	0.4968681996726853	0
47	0.22	1	0.06315792913725433	0
72	0.22	2	0.01386082610570858	0
23	0.23	0	0.5951660229422685	0
48	0.23	1	0.1009439656817898	0
73	0.23	2	0.005908957788860239	0
24	0.24	0	0.6860044145881784	0
49	0.24	1	0.1448067511786746	0
74	0.24	2	0.00600215887936639	0
0	0.0	0	0.58469524162053	1
25	0.0	1	0.008235325893830336	1
50	0.0	2	0.01154491337960168	1
1	0.01	0	0.0	1
26	0.01	1	0.017135725479600867	1
51	0.01	2	0.039121658984491145	1
2	0.02	0	0.0	1
27	0.02	1	0.029332902864716272	1
52	0.02	2	0.07446548192059972	1
3	0.03	0	0.0	1
28	0.03	1	0.05198532182002257	1
53	0.03	2	0.0708994737450504	1
4	0.04	0	0.0	1
29	0.04	1	0.05609323869563351	1
54	0.04	2	0.08753956275931794	1
5	0.05	0	0.0	1
30	0.05	1	0.08250651138361817	1
55	0.05	2	0.09383769886004757	1
6	0.06	0	0.0	1
31	0.06	1	0.1022121731249917	1
56	0.06	2	0.09080026199018652	1
7	0.07	0	0.0	1
32	0.07	1	0.11958929047532173	1
57	0.07	2	0.0833683616367474	1
8	0.08	0	0.0	1
33	0.08	1	0.13074737271177247	1
58	0.08	2	0.07435737829925293	1
9	0.09	0	0.0	1
34	0.09	1	0.14997930396577974	1
59	0.09	2	0.06281894529386184	1
10	0.1	0	0.0	1
35	0.1	1	0.15071492903485323	1
60	0.1	2	0.0482770304194334	1
11	0.11	0	0.0	1
36	0.11	1	0.14892430035272364	1
61	0.11	2	0.03413682272390961	1
12	0.12	0	0.45894096356650527	1
37	0.12	1	0.14326475381501733	1
62	0.12	2	0.021217688861064746	1
13	0.13	0	0.0	1
38	0.13	1	0.13198511986301303	1
63	0.13	2	0.01559369373720083	1
14	0.14	0	0.0	1
39	0.14	1	0.1105092305038944	1
64	0.14	2	0.0063658599890149365	1
15	0.15	0	0.0	1
40	0.15	1	0.09640957714912231	1
65	0.15	2	0.012739296318108178	1
16	0.16	0	0.0	1
41	0.16	1	0.07962171940308009	1
66	0.16	2	0.002576756222796489	1
17	0.17	0	0.0	1
42	0.17	1	0.06200579583283993	1
67	0.17	2	0.003984315402803061	1
18	0.18	0	0.0	1
43	0.18	1	0.050787797557148774	1
68	0.18	2	0.01022346316865034	1
19	0.19	0	0.0	1
44	0.19	1	0.049993272627241146	1
69	0.19	2	0.014945263908268088	1
20	0.2	0	0.0	1
45	0.2	1	0.051041939657551175	1
70	0.2	2	0.017783620211377665	1
21	0.21	0	0.0	1
46	0.21	1	0.05791766865272525	1
71	0.21	2	0.019852275808082714	1
22	0.22	0	0.0	1
47	0.22	1	0.06315792913725433	1
72	0.22	2	0.01386082610570858	1
23	0.23	0	0.0	1
48	0.23	1	0.1009439656817898	1
73	0.23	2	0.005908957788860239	1
24	0.24	0	0.6860044145881784	1
49	0.24	1	0.1448067511786746	1
74	0.24	2	0.00600215887936639	1
0	0.0	0	0.5725344128604329	2
25	0.0	1	0.008235325893830336	2
50	0.0	2	0.01154491337960168	2
1	0.01	0	0.0	2
26	0.01	1	0.017135725479600867	2
51	0.01	2	0.039121658984491145	2
2	0.02	0	0.0	2
27	0.02	1	0.029332902864716272	2
52	0.02	2	0.07446548192059972	2
3	0.03	0	0.0	2
28	0.03	1	0.05198532182002257	2
53	0.03	2	0.0708994737450504	2
4	0.04	0	0.0	2
29	0.04	1	0.05609323869563351	2
54	0.04	2	0.08753956275931794	2
5	0.05	0	0.0	2
30	0.05	1	0.08250651138361817	2
55	0.05	2	0.09383769886004757	2
6	0.06	0	0.0	2
31	0.06	1	0.1022121731249917	2
56	0.06	2	0.09080026199018652	2
7	0.07	0	0.0	2
32	0.07	1	0.11958929047532173	2
57	0.07	2	0.0833683616367474	2
8	0.08	0	0.0	2
33	0.08	1	0.13074737271177247	2
58	0.08	2	0.07435737829925293	2
9	0.09	0	0.0	2
34	0.09	1	0.14997930396577974	2
59	0.09	2	0.06281894529386184	2
10	0.1	0	0.0	2
35	0.1	1	0.15071492903485323	2
60	0.1	2	0.0482770304194334	2
11	0.11	0	0.0	2
36	0.11	1	0.14892430035272364	2
61	0.11	2	0.03413682272390961	2
12	0.12	0	0.45894096356650527	2
37	0.12	1	0.14326475381501733	2
62	0.12	2	0.021217688861064746	2
13	0.13	0	0.0	2
38	0.13	1	0.13198511986301303	2
63	0.13	2	0.01559369373720083	2
14	0.14	0	0.0	2
