"","X5_TNBC.SA535.UnRx","X6_TNBC.SA535.Rx","X7_TNBC.SA535.Rx","X8_TNBC.SA535.Rx","X9_TNBC.SA535.Rx","X10_TNBC.SA535.Rx","replicateID","rxFrac"
"a",0.896694214876033,0.175847457627119,0.990740740740741,0.805825242718447,0.56953642384106,0.380952380952381,1,0.833333333333333
"b",0.0991735537190083,0.813559322033898,0.00617283950617284,0.192233009708738,0.423841059602649,0.615384615384615,1,0.833333333333333
"c",0.00413223140495868,0.0105932203389831,0.00308641975308642,0.00194174757281553,0.00662251655629139,0.00366300366300366,1,0.833333333333333
