"","X1_TNBC.SA609.Mixture.b","X2_TNBC.SA609.Mixture.b","X3_TNBC.SA609.Mixture.b","X4_TNBC.SA609.Mixture.b","X5_TNBC.SA609.Mixture.b","replicateID","rxFrac"
"a",0.658307210031348,0.548109965635739,0.566218809980806,0.482142857142857,0.484988452655889,1,0
"b",0.00470219435736677,0.0463917525773196,0.00383877159309021,0.025974025974026,0.0115473441108545,1,0
"c",0.00313479623824451,0.00343642611683849,0.00383877159309021,0.00324675324675325,0.0023094688221709,1,0
"d",0.0109717868338558,0.00343642611683849,0.420345489443378,0.00162337662337662,0.0207852193995381,1,0
"e",0.0360501567398119,0.0807560137457045,0.00191938579654511,0.483766233766234,0.475750577367206,1,0
"f",0.285266457680251,0.316151202749141,0.00191938579654511,0.00162337662337662,0.0023094688221709,1,0
"g",0.00156739811912226,0.00171821305841924,0.00191938579654511,0.00162337662337662,0.0023094688221709,1,0
