"","X4_TNBC.SA1035.UnRx","X5_TNBC.SA1035.Rx","X6_TNBC.SA1035.Rx","X7_TNBC.SA1035.Holiday","replicateID","rxFrac"
"a",0.802631578947368,0.543640897755611,0.607317073170732,0.525862068965517,4,0.5
"b",0.0432330827067669,0.0261845386533666,0.0146341463414634,0.00862068965517241,4,0.5
"c",0.0225563909774436,0.00498753117206983,0.0024390243902439,0.181034482758621,4,0.5
"d",0.0300751879699248,0.0773067331670823,0.0512195121951219,0.0258620689655172,4,0.5
"e",0.0488721804511278,0.0349127182044888,0.0634146341463415,0.0775862068965517,4,0.5
"f",0.0093984962406015,0.119700748129676,0.168292682926829,0.112068965517241,4,0.5
"g",0.0281954887218045,0.0673316708229426,0.0292682926829268,0.0517241379310345,4,0.5
"h",0.0131578947368421,0.104738154613466,0.024390243902439,0.00862068965517241,4,0.5
"i",0.0018796992481203,0.0211970074812968,0.0390243902439024,0.00862068965517241,4,0.5
