"","X4_TNBC.SA1035.UnRx","X5_TNBC.SA1035.UnRx","X6_TNBC.SA1035.UnRx","X7_TNBC.SA1035.UnRx","X8_TNBC.SA1035.UnRx","replicateID","rxFrac"
"a",0.802631578947368,0.597647058823529,0.594117647058824,0.271844660194175,0.1248,1,0
"b",0.0432330827067669,0.0705882352941176,0.0294117647058824,0.0194174757281553,0.0064,1,0
"c",0.0225563909774436,0.0635294117647059,0.00588235294117647,0.00970873786407767,0.0032,1,0
"d",0.0300751879699248,0.0329411764705882,0.0735294117647059,0.184466019417476,0.0032,1,0
"e",0.0488721804511278,0.136470588235294,0.05,0.00970873786407767,0.1488,1,0
"f",0.0093984962406015,0.0117647058823529,0.173529411764706,0.475728155339806,0.0112,1,0
"g",0.0281954887218045,0.08,0.0235294117647059,0.00970873786407767,0.6944,1,0
"h",0.0131578947368421,0.00470588235294118,0.0205882352941176,0.00970873786407767,0.0064,1,0
"i",0.0018796992481203,0.00235294117647059,0.0294117647058824,0.00970873786407767,0.0016,1,0
