	time	K	X	np
0	0.0	0	0.04938659657247768	0
13	0.0	1	0.009488205460132805	0
26	0.0	2	0.013280678207536901	0
1	0.01	0	0.019403254743212604	0
14	0.01	1	0.034714646719465454	0
27	0.01	2	0.039167947619535716	0
2	0.02	0	0.05461375319168987	0
15	0.02	1	0.054194031172943656	0
28	0.02	2	0.06313014716125064	0
3	0.03	0	0.048124503824571965	0
16	0.03	1	0.08630475704124617	0
29	0.03	2	0.09377484296808615	0
4	0.04	0	0.030585671030552916	0
17	0.04	1	0.11402297174125356	0
30	0.04	2	0.10793242805931443	0
5	0.05	0	0.0034711894401209956	0
18	0.05	1	0.12425434196100596	0
31	0.05	2	0.11135252709441744	0
6	0.06	0	0.037281870830461694	0
19	0.06	1	0.12750701913720836	0
32	0.06	2	0.11063458559546302	0
7	0.07	0	0.09995823738639739	0
20	0.07	1	0.12620400786018923	0
33	0.07	2	0.10500530071049115	0
8	0.08	0	0.13577554205891415	0
21	0.08	1	0.133131925159354	0
34	0.08	2	0.10146215659915553	0
9	0.09	0	0.24043328798483468	0
22	0.09	1	0.1217618924504412	0
35	0.09	2	0.08466874822694127	0
10	0.1	0	0.3178766540379635	0
23	0.1	1	0.11647996570344829	0
36	0.1	2	0.06615959216482882	0
11	0.11	0	0.39034067935926486	0
24	0.11	1	0.11422918301806263	0
37	0.11	2	0.0446997924090954	0
12	0.12	0	0.4896553093208592	0
25	0.12	1	0.08702243030196173	0
38	0.12	2	0.016771687646746695	0
0	0.0	0	0.04938659657247768	1
13	0.0	1	0.009488205460132805	1
26	0.0	2	0.030512424272728086	1
1	0.01	0	0.019403254743212604	1
14	0.01	1	0.034714646719465454	1
27	0.01	2	0.0	1
2	0.02	0	0.05461375319168987	1
15	0.02	1	0.054194031172943656	1
28	0.02	2	0.0	1
3	0.03	0	0.048124503824571965	1
16	0.03	1	0.08630475704124617	1
29	0.03	2	0.0	1
4	0.04	0	0.030585671030552916	1
17	0.04	1	0.11402297174125356	1
30	0.04	2	0.0	1
5	0.05	0	0.0034711894401209956	1
18	0.05	1	0.12425434196100596	1
31	0.05	2	0.0	1
6	0.06	0	0.037281870830461694	1
19	0.06	1	0.12750701913720836	1
32	0.06	2	0.11063458559546302	1
7	0.07	0	0.09995823738639739	1
20	0.07	1	0.12620400786018923	1
33	0.07	2	0.0	1
8	0.08	0	0.13577554205891415	1
21	0.08	1	0.133131925159354	1
34	0.08	2	0.0	1
9	0.09	0	0.24043328798483468	1
22	0.09	1	0.1217618924504412	1
35	0.09	2	0.0	1
10	0.1	0	0.3178766540379635	1
23	0.1	1	0.11647996570344829	1
36	0.1	2	0.0	1
11	0.11	0	0.39034067935926486	1
24	0.11	1	0.11422918301806263	1
37	0.11	2	0.0	1
12	0.12	0	0.4896553093208592	1
25	0.12	1	0.08702243030196173	1
38	0.12	2	0.0	1
0	0.0	0	0.04938659657247768	2
13	0.0	1	0.009973221420468907	2
26	0.0	2	0.030512424272728086	2
1	0.01	0	0.019403254743212604	2
14	0.01	1	0.0	2
27	0.01	2	0.0	2
2	0.02	0	0.05461375319168987	2
15	0.02	1	0.0	2
28	0.02	2	0.0	2
3	0.03	0	0.048124503824571965	2
16	0.03	1	0.0	2
29	0.03	2	0.0	2
4	0.04	0	0.030585671030552916	2
17	0.04	1	0.0	2
30	0.04	2	0.0	2
5	0.05	0	0.0034711894401209956	2
18	0.05	1	0.0	2
31	0.05	2	0.0	2
6	0.06	0	0.037281870830461694	2
19	0.06	1	0.12750701913720836	2
32	0.06	2	0.11063458559546302	2
7	0.07	0	0.09995823738639739	2
20	0.07	1	0.0	2
33	0.07	2	0.0	2
8	0.08	0	0.13577554205891415	2
21	0.08	1	0.0	2
34	0.08	2	0.0	2
9	0.09	0	0.24043328798483468	2
22	0.09	1	0.0	2
35	0.09	2	0.0	2
10	0.1	0	0.3178766540379635	2
23	0.1	1	0.0	2
36	0.1	2	0.0	2
11	0.11	0	0.39034067935926486	2
24	0.11	1	0.0	2
37	0.11	2	0.0	2
12	0.12	0	0.4896553093208592	2
25	0.12	1	0.0	2
38	0.12	2	0.0	2
0	0.0	0	0.07335128007231412	3
13	0.0	1	0.009973221420468907	3
26	0.0	2	0.030512424272728086	3
1	0.01	0	0.0	3
14	0.01	1	0.0	3
27	0.01	2	0.0	3
2	0.02	0	0.0	3
15	0.02	1	0.0	3
28	0.02	2	0.0	3
3	0.03	0	0.0	3
16	0.03	1	0.0	3
29	0.03	2	0.0	3
4	0.04	0	0.0	3
17	0.04	1	0.0	3
30	0.04	2	0.0	3
5	0.05	0	0.0	3
18	0.05	1	0.0	3
31	0.05	2	0.0	3
6	0.06	0	0.0	3
19	0.06	1	0.12750701913720836	3
32	0.06	2	0.11063458559546302	3
7	0.07	0	0.0	3
20	0.07	1	0.0	3
33	0.07	2	0.0	3
8	0.08	0	0.0	3
21	0.08	1	0.0	3
34	0.08	2	0.0	3
9	0.09	0	0.0	3
22	0.09	1	0.0	3
35	0.09	2	0.0	3
10	0.1	0	0.0	3
23	0.1	1	0.0	3
36	0.1	2	0.0	3
11	0.11	0	0.0	3
24	0.11	1	0.0	3
37	0.11	2	0.0	3
12	0.12	0	0.4896553093208592	3
25	0.12	1	0.0	3
38	0.12	2	0.0	3
0	0.0	0	0.07335128007231412	4
13	0.0	1	0.009973221420468907	4
26	0.0	2	0.009388545802602987	4
1	0.01	0	0.0	4
14	0.01	1	0.0	4
27	0.01	2	0.0	4
2	0.02	0	0.0	4
15	0.02	1	0.0	4
28	0.02	2	0.0	4
3	0.03	0	0.0	4
16	0.03	1	0.0	4
29	0.03	2	0.0	4
4	0.04	0	0.0	4
17	0.04	1	0.0	4
30	0.04	2	0.0	4
5	0.05	0	0.0	4
18	0.05	1	0.0	4
31	0.05	2	0.0	4
6	0.06	0	0.0	4
19	0.06	1	0.12750701913720836	4
32	0.06	2	0.11063458559546302	4
7	0.07	0	0.0	4
20	0.07	1	0.0	4
33	0.07	2	0.0	4
8	0.08	0	0.0	4
21	0.08	1	0.0	4
34	0.08	2	0.0	4
9	0.09	0	0.0	4
22	0.09	1	0.0	4
35	0.09	2	0.0	4
10	0.1	0	0.0	4
23	0.1	1	0.0	4
36	0.1	2	0.0	4
11	0.11	0	0.0	4
24	0.11	1	0.0	4
37	0.11	2	0.0	4
12	0.12	0	0.4896553093208592	4
25	0.12	1	0.0	4
38	0.12	2	0.0	4
0	0.0	0	0.04935028379870143	5
13	0.0	1	0.009973221420468907	5
26	0.0	2	0.009388545802602987	5
1	0.01	0	0.0	5
14	0.01	1	0.0	5
27	0.01	2	0.0	5
2	0.02	0	0.0	5
15	0.02	1	0.0	5
28	0.02	2	0.0	5
3	0.03	0	0.0	5
16	0.03	1	0.0	5
29	0.03	2	0.0	5
4	0.04	0	0.0	5
17	0.04	1	0.0	5
30	0.04	2	0.0	5
5	0.05	0	0.0	5
18	0.05	1	0.0	5
31	0.05	2	0.0	5
6	0.06	0	0.0	5
19	0.06	1	0.12750701913720836	5
32	0.06	2	0.11063458559546302	5
7	0.07	0	0.0	5
20	0.07	1	0.0	5
33	0.07	2	0.0	5
8	0.08	0	0.0	5
21	0.08	1	0.0	5
34	0.08	2	0.0	5
9	0.09	0	0.0	5
22	0.09	1	0.0	5
35	0.09	2	0.0	5
10	0.1	0	0.0	5
23	0.1	1	0.0	5
36	0.1	2	0.0	5
11	0.11	0	0.0	5
24	0.11	1	0.0	5
37	0.11	2	0.0	5
12	0.12	0	0.4896553093208592	5
25	0.12	1	0.0	5
38	0.12	2	0.0	5
0	0.0	0	0.04935028379870143	6
13	0.0	1	0.00717557941495226	6
26	0.0	2	0.009388545802602987	6
1	0.01	0	0.0	6
14	0.01	1	0.0	6
27	0.01	2	0.0	6
2	0.02	0	0.0	6
15	0.02	1	0.0	6
28	0.02	2	0.0	6
3	0.03	0	0.0	6
16	0.03	1	0.0	6
29	0.03	2	0.0	6
4	0.04	0	0.0	6
17	0.04	1	0.0	6
30	0.04	2	0.0	6
5	0.05	0	0.0	6
18	0.05	1	0.0	6
31	0.05	2	0.0	6
6	0.06	0	0.0	6
19	0.06	1	0.12750701913720836	6
32	0.06	2	0.11063458559546302	6
7	0.07	0	0.0	6
20	0.07	1	0.0	6
33	0.07	2	0.0	6
8	0.08	0	0.0	6
21	0.08	1	0.0	6
34	0.08	2	0.0	6
9	0.09	0	0.0	6
22	0.09	1	0.0	6
35	0.09	2	0.0	6
10	0.1	0	0.0	6
23	0.1	1	0.0	6
36	0.1	2	0.0	6
11	0.11	0	0.0	6
24	0.11	1	0.0	6
37	0.11	2	0.0	6
12	0.12	0	0.4896553093208592	6
25	0.12	1	0.0	6
38	0.12	2	0.0	6
0	0.0	0	0.04935028379870143	7
13	0.0	1	0.00717557941495226	7
26	0.0	2	0.030753979175681016	7
1	0.01	0	0.0	7
14	0.01	1	0.0	7
27	0.01	2	0.0	7
2	0.02	0	0.0	7
15	0.02	1	0.0	7
28	0.02	2	0.0	7
3	0.03	0	0.0	7
16	0.03	1	0.0	7
29	0.03	2	0.0	7
4	0.04	0	0.0	7
17	0.04	1	0.0	7
30	0.04	2	0.0	7
5	0.05	0	0.0	7
18	0.05	1	0.0	7
31	0.05	2	0.0	7
6	0.06	0	0.0	7
19	0.06	1	0.12750701913720836	7
32	0.06	2	0.11063458559546302	7
7	0.07	0	0.0	7
20	0.07	1	0.0	7
33	0.07	2	0.0	7
8	0.08	0	0.0	7
21	0.08	1	0.0	7
34	0.08	2	0.0	7
